date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2013-04-18 09:30:00,0,4164,opening,10000.0,0.0,1.0,1,168.37851490149856,59.39,155.37,1.0518925600048807
2013-04-18 16:00:00,0,4165,holding,10268.366366190608,268.3663661906078,1.0,1,168.37851490149856,59.69,154.14,1.0518925600048807
2013-04-19 09:30:00,0,4166,holding,10246.69919636374,246.69919636373936,1.0,1,168.37851490149856,59.94,154.5,1.0534990363760215
2013-04-19 16:00:00,0,4167,holding,10089.963262906125,89.96326290612515,1.0,1,168.37851490149856,60.04,155.48,1.0534990363760215
2013-04-22 09:30:00,0,4168,closing,10028.409505034182,28.409505034181496,1.0,1,168.37851490149856,59.99,155.78,1.0527092160887936
2013-07-18 16:00:00,1,4291,opening,10028.409505034182,0.0,1.0,1,142.14613047532507,70.55,168.87,1.053892526142228
2013-07-19 09:30:00,1,4292,holding,10089.370633447495,60.961128413313055,1.0,1,142.14613047532507,70.61,168.52,1.0563164200866098
2013-07-19 16:00:00,1,4293,holding,10111.398999103583,82.98949406940099,1.0,1,142.14613047532507,71.45,169.17,1.0563164200866098
2013-07-22 09:30:00,1,4294,closing,10091.081454769152,62.67194973496937,1.0,1,142.14613047532507,71.56,169.41,1.0553895698673972
2013-10-17 09:30:00,2,4418,opening,10091.081454769152,0.0,1.0,1,140.6030577507197,71.77,171.37,0.8647692554795166
2013-10-17 16:00:00,2,4419,holding,9809.900208765785,-281.1812460033677,1.0,1,140.6030577507197,71.37,173.22,0.8647692554795166
2013-10-18 09:30:00,2,4420,holding,9716.616783408894,-374.4646713602579,1.0,1,140.6030577507197,71.26,173.86,0.8915455808148629
2013-10-18 16:00:00,2,4421,holding,9300.666862200404,-790.4145925687475,1.0,1,140.6030577507197,68.76,174.39,0.8915455808148629
2013-10-21 09:30:00,2,4422,closing,9277.90517375367,-813.1762810154809,1.0,1,140.6030577507197,68.65,174.45,0.8921090867887099
2014-01-16 09:30:00,3,4542,opening,9277.90517375367,0.0,1.0,1,125.1572261399389,74.13,184.28,0.8776539397573317
2014-01-16 16:00:00,3,4543,holding,9091.061511376442,-186.8436623772279,1.0,1,125.1572261399389,72.76,184.42,0.8776539397573317
2014-01-17 09:30:00,3,4544,holding,9171.268427222281,-106.63674653138939,1.0,1,125.1572261399389,73.12,184.1,0.8765495609676278
2014-01-17 16:00:00,3,4545,holding,9146.702668539292,-131.20250521437723,1.0,1,125.1572261399389,72.52,183.64,0.8765495609676278
2014-01-21 09:30:00,3,4546,closing,9055.298697199814,-222.60647655385506,1.0,1,125.1572261399389,72.72,184.7,0.8719635934772749
2014-04-21 09:30:00,4,4670,opening,9055.298697199814,0.0,-1.0,-1,119.6208546525735,75.7,186.44,0.8082304299812011
2014-04-21 16:00:00,4,4671,closing,9203.023067063585,147.7243698637705,-1.0,-1,119.6208546525735,74.95,187.04,0.8082304299812011
2014-07-18 09:30:00,5,4794,opening,9203.023067063585,0.0,1.0,1,107.67547756012151,85.47,196.35,0.8680204865811835
2014-07-18 16:00:00,5,4795,holding,9081.295093164135,-121.72797389944876,1.0,1,107.67547756012151,85.52,197.71,0.8680204865811835
2014-07-21 09:30:00,5,4796,closing,9106.94045255935,-96.08261450423372,1.0,1,107.67547756012151,85.22,197.09,0.8671398452121756
