date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-01-30 09:30:00,0,532,opening,10000.0,0.0,1.0,1,10,27.81,128.44,1.2348220278942088
2006-01-30 16:00:00,0,533,holding,10001.9,1.9000000000000128,1.0,1,10,28.0,128.44,1.2348220278942088
2006-01-31 09:30:00,0,534,holding,10002.181786433473,2.1817864334731096,1.0,1,10,27.88,128.32,1.234480651427971
2006-01-31 16:00:00,0,535,holding,10015.007327062205,15.007327062205533,1.0,1,10,28.15,127.5,1.234480651427971
2006-02-01 09:30:00,0,536,holding,10009.755896572944,9.75589657294416,1.0,1,10,28.02,127.82,1.2342682810558743
2006-02-01 16:00:00,0,537,holding,10002.917411013947,2.917411013947249,1.0,1,10,28.04,128.39,1.2342682810558743
2006-02-02 09:30:00,0,538,closing,10005.29839489484,5.298394894840381,1.0,1,10,27.92,128.1,1.233362637487856
2006-05-01 09:30:00,1,658,opening,10005.29839489484,0.0,1.0,1,10,24.33,131.47,1.2034090308393879
2006-05-01 16:00:00,1,659,holding,10017.774871524822,12.476476629981377,1.0,1,10,24.29,130.4,1.2034090308393879
2006-05-02 09:30:00,1,660,holding,10012.434076436703,7.135681541861282,1.0,1,10,24.49,131.01,1.203274189413276
2006-05-02 16:00:00,1,661,holding,10003.181463022596,-2.116931872244477,1.0,1,10,24.01,131.38,1.203274189413276
2006-05-03 09:30:00,1,662,holding,9998.806917471939,-6.491477422901523,1.0,1,10,23.38,131.22,1.2011926968387325
2006-05-03 16:00:00,1,663,holding,10000.678167273709,-4.620227621131365,1.0,1,10,23.17,130.89,1.2011926968387325
2006-05-04 09:30:00,1,664,closing,10000.191690115114,-5.10670477972652,1.0,1,10,23.35,131.08,1.202292171452092
2006-07-24 09:30:00,2,774,opening,10000.191690115114,0.0,1.0,2,10,24.01,124.44,1.1868790367048165
2006-07-24 16:00:00,2,775,holding,9979.08393116544,-21.107758949675222,1.0,2,10,24.0,126.21,1.1868790367048165
2006-07-25 09:30:00,2,776,holding,9981.81375294986,-18.377937165254266,1.0,2,10,24.0,125.98,1.1858102501060435
2006-07-25 16:00:00,2,777,holding,9975.942975500267,-24.24871461484694,1.0,2,10,24.22,126.66,1.1858102501060435
2006-07-26 09:30:00,2,778,holding,9975.77379082596,-24.417899289153628,1.0,2,10,24.12,126.59,1.1863735906259567
2006-07-26 16:00:00,2,779,holding,9975.42528113787,-24.766408977245128,1.0,2,10,24.37,126.83,1.1863735906259567
2006-07-27 09:30:00,2,780,closing,9971.690885954346,-28.50080416076922,1.0,2,10,24.59,127.33,1.1849918396927257
2006-10-30 09:30:00,3,912,opening,9971.690885954346,0.0,1.0,1,10,28.36,137.66,1.2070007649373795
2006-10-30 16:00:00,3,913,holding,9971.580384806939,-0.11050114740612071,1.0,1,10,28.53,137.81,1.2070007649373795
2006-10-31 09:30:00,3,914,holding,9969.442182818102,-2.2487031362432193,1.0,1,10,28.63,138.07,1.2033026377444518
2006-10-31 16:00:00,3,915,holding,9973.621784959927,1.9308990055814756,1.0,1,10,28.71,137.79,1.2033026377444518
2006-11-01 09:30:00,3,916,holding,9969.131681670697,-2.5592042836493354,1.0,1,10,28.78,138.22,1.2037091094215753
2006-11-01 16:00:00,3,917,holding,9985.846892073845,14.156006119498823,1.0,1,10,28.81,136.86,1.2037091094215753
2006-11-02 09:30:00,3,918,closing,9988.771394751126,17.080508796779938,1.0,1,10,28.68,136.51,1.2030096336904457
2007-01-29 09:30:00,4,1032,opening,9988.771394751126,0.0,1.0,1,10,30.68,142.19,1.1950253212741102
2007-01-29 16:00:00,4,1033,holding,9988.944430200909,0.17303544978360536,1.0,1,10,30.53,142.05,1.1950253212741102
2007-01-30 09:30:00,4,1034,holding,9985.759354237087,-3.01204051403853,1.0,1,10,30.57,142.35,1.1953654321972376
2007-01-30 16:00:00,4,1035,holding,9979.60124282348,-9.170151927644586,1.0,1,10,30.48,142.79,1.1953654321972376
2007-01-31 09:30:00,4,1036,holding,9980.913283337519,-7.858111413606038,1.0,1,10,30.42,142.63,1.1952501199575587
2007-01-31 16:00:00,4,1037,holding,9971.92899973925,-16.84239501187615,1.0,1,10,30.86,143.75,1.1952501199575587
2007-02-01 09:30:00,4,1038,closing,9966.948898454153,-21.822496296972655,1.0,1,10,30.84,144.15,1.1985807109640767
2007-04-30 09:30:00,5,1158,opening,9966.948898454153,0.0,1.0,2,10,30.13,149.64,1.177240887891981
2007-04-30 16:00:00,5,1159,holding,9980.941650440695,13.992751986541698,1.0,2,10,29.94,148.29,1.177240887891981
2007-05-01 09:30:00,5,1160,holding,9979.411237286435,12.462338832282176,1.0,2,10,29.94,148.42,1.1732663828523522
2007-05-01 16:00:00,5,1161,holding,9981.068135066706,14.119236612552196,1.0,2,10,30.4,148.67,1.1732663828523522
2007-05-02 09:30:00,5,1162,holding,9978.260481024554,11.311582570400446,1.0,2,10,30.39,148.9,1.1750212220526937
2007-05-02 16:00:00,5,1163,holding,9972.926139342046,5.977240887891918,1.0,2,10,30.61,149.54,1.1750212220526937
2007-05-03 09:30:00,5,1164,closing,9967.76400352411,0.81510506995634,1.0,2,10,30.6,149.97,1.1755553675251376
2007-07-23 09:30:00,6,1274,opening,9967.76400352411,0.0,1.0,1,10,31.36,154.18,1.1467596280120762
2007-07-23 16:00:00,6,1275,holding,9968.472198742935,0.7081952188254698,1.0,1,10,31.19,153.97,1.1467596280120762
2007-07-24 09:30:00,6,1276,holding,9976.419655581038,8.655652056928055,1.0,1,10,31.01,153.12,1.1510818287755495
2007-07-24 16:00:00,6,1277,holding,9995.190680810858,27.426677286747754,1.0,1,10,30.8,151.3,1.1510818287755495
2007-07-25 09:30:00,6,1278,holding,9988.83401148917,21.070007965060796,1.0,1,10,30.99,152.02,1.1455866039473046
2007-07-25 16:00:00,6,1279,holding,9990.73572596402,22.971722439910295,1.0,1,10,30.71,151.61,1.1455866039473046
2007-07-26 09:30:00,6,1280,closing,10002.31971268179,34.55570915768193,1.0,1,10,30.24,150.19,1.1228098841335612
